反向新聞內容,反向新聞標題,新聞標題,新聞內容
由於預算不足，高雄市交通局決定暫時關閉高雄車站南側地下停車場。該停車場原本在24日啟用，但現在卻改為永久關閉。汽車和機車的停車需求將被轉移到其它停車場處理。交通局表示，雖然南側停車場能夠紓解高雄車站周邊停車需求，但由於預算短缺，無法維持正常營運。另外，原本預計在114年下半年啟用的東、西2側機車停車場也將被取消計劃。,高雄車站南側地下停車場因為資金問題暫時關閉,迎接春節旅客  高雄車站南側地下停車場24日啟用,（中央社記者林巧璉高雄21日電）高雄車站南側地下停車場將於24日上午10時啟用，提供669席汽車、253席機車格位。汽車由站西路進場、站東路離場；機車則由建國三路進、站西路出。 高雄市交通局、交通部鐵道局等單位今天舉辦記者說明會，交通局表示，南側停車場共有2層，分別為地下夾層、地下一層；配合車站周邊道路運行，汽車須從站西路進停車場，從站東路離場；機車則由建國三路進、站西路出。 此外，高雄車站以南可開中正路或七賢路，由自立路經鐵道街往站西路進場；從復興路、民族路往北的車輛，可由十全路轉博愛路由站西路進場，從站東路由鐵道街轉復興路或民族路往南離場。 台鐵公司表示，高雄車站地下停車場為台鐵公司委託民間業者「正好停」營運。24日起至2月28日試營運期間提供臨停費率優惠：汽車每小時30元，當日最高上限150元；3月1日起恢復1小時40元，當日最高上限200元；機車皆為1次30元。 交通局主秘王志綱接受媒體聯訪時表示，停車場將大幅紓解高雄車站周邊停車需求，除了即將開放的南側地下停車場外，另外在東、西2側也有機車停車場，提供880席機車位，預計於114年下半年啟用。 為配合停車場啟用，交通局提供交通配套並提升用路體驗，除停車場出入口新增交通號誌及調整時制外，沿線也設置19面導引牌面及6面資訊可變標誌，提供即時方向指引。 高市警察局交通大隊大隊長黃元民說，初期階段將派駐警力駐點，在停車場周邊重點路口及旅客接送區疏導交通。此外，安排巡邏組與交通快速反應警力，即時處理違規及交通事故，並有拖吊車不定時巡邏。（編輯：謝雅竹）1140121
大S在去年春節期間因為泡溫泉而獲得了完美身體，網傳接待大S一家的導遊表示，大S泡溫泉後的身體變得更加光滑和充實。醫師黃軒表示，這是個理想的例子，流感患者完全可以在泡溫泉中治療病情。黃軒認為，泡溫泉對於流感患者有多種益處。他說明原因如下：1.增強身體免疫力泡溫泉中的高濕度環境和熱氣，可以幫助身體恢復免疫系統，使得流感病毒更容易被驅趕出體內。2.提高新陳代謝泡溫泉可以幫助身體增加新陳代謝率，從而加速病毒清除，並促進身體康復。3.疏導情緒泡溫泉中的人們往往能夠放鬆和舒展身心，使得大S也感到非常自在和放松。4.增強人際關係泡溫泉的環境促使了人們之間更加親密，黃軒認為，大S這樣做是個很好的榜樣，可以讓大家學習到如何享受生活。因此，他建議所有流感患者應該試著泡溫泉，並且盡量與他人保持社交距離，以便能夠更好地康復和享受生活。,大S因享受泡溫泉而獲得完美身體，醫生們都佩服其健康的狀況。,大S流感猝逝！醫揪「1行程」釀悲劇：大家都要避免,記者施春美／台北報導▲大S春節赴日旅遊因流感併發肺炎，驟然病逝，震驚各界。(圖／翻攝自IG)大S春節赴日旅遊因流感併發肺炎過世，網傳接待大S一家的導遊表示，大S在1月29日當天就有症狀，當天曾到箱根泡溫泉。醫師黃軒表示，流感患者不適合泡溫泉，因為泡溫泉會增加身體負擔、影響呼吸系統、影響免疫系統。「因此，生病的人不應該泡溫泉，那些蒸騰的熱氣，不是排毒，而是造成身體系統中毒！」針對流感患者是否適合泡溫泉，胸腔暨重症專科醫師黃軒在其臉書表示，「不建議！」他說明原因如下：1.  增加身體負擔溫泉高溫會影響體溫調節，流感患者可能已發燒，泡溫泉會進一步提高體溫，增加身體負擔，甚至引發「中暑或脫水」。此外，泡溫泉會增加身體消耗的能量。流感患者的身體正在對抗病毒，泡溫泉可能加速代謝與心率，導致「疲勞加重」。2.  影響呼吸系統熱氣與蒸氣可能加重呼吸道症狀。流感會引起喉嚨痛、咳嗽、鼻塞，而溫泉的高濕度環境會使氣道分泌物增加，導致「呼吸困難或痰液堆積」。此外，泡溫泉可能引發支氣管痙攣。對於有氣喘或慢性支氣管炎的流感患者，泡溫泉可能誘發「支氣管收縮」，導致喘息或呼吸不順。3.  提高傳染風險由於流感病毒可透過飛沫傳播，人在泡溫泉時與他人近距離接觸，病毒更容易傳播。此外，溫泉設施的毛巾、座椅、浴池邊緣可能有病毒殘留，增加傳播風險。4.  影響免疫系統泡溫泉可能抑制免疫反應。因為當身體處於高溫環境，免疫系統的反應可能被抑制，而延長康復時間，甚至使病情惡化此外，泡溫泉可能加重併發症。流感患者可能因免疫力下降，導致細菌感染，例如感染肺炎、鼻竇炎。泡溫泉可能削弱免疫力，使病情惡化。黃軒建議，流感患者應避免泡溫泉，改為其他適當的方式，包括多休息、多喝溫水、可用熱敷或泡腳來促進血液循環、避免到公共場所，「等病情完全康復，再考慮泡溫泉，以避免復發或併發症。」
由於最近的天氣變化，預計未來一段時間都會是晴朗無雲的好天氣，因此交通部公路局決定將原先計劃的分向封閉方案取消。民眾可以繼續正常開車經過台61線西至洋厝路段，無須改道或轉乘替代路線。工程人員將會盡量不干擾行車秩序，讓所有用路人都能順暢地通行。,台61線西至洋厝路基改善工程取消分向封閉,台61線西至洋厝路基改善 2/10起分向封閉,（中央社記者鄭維真彰化縣3日電）台61線170公里處線西至174公里處洋厝南北向路段將進行路基改善工程，預計2月10日至21日分向封閉，將實施交通管制，用路人提早改道或行駛替代路線。交通部公路局中區養護工程分局彰化工務段今天發布新聞稿，10日上午9時至14日下午6時，將封閉台61線南下線西至洋厝路段，建議南下車輛由線西匝道匯出行駛側車道，轉138縣道至台17線南下，再轉濱海路，由台61線洋厝匝道匯入續行台61線。北上路段預計17日上午9時至21日下午6時封閉，民眾可從台61線下洋厝匝道行駛平面側車道，右轉濱海路，左轉台17線後，再左轉中華路往彰濱工業區線西區，接台61線續進北上。彰化工務段表示，如遇雨天將不施工，相關施工動態訊息可查詢交通部公路局網頁訊息公告及智慧化省道即時資訊服務網。（編輯：郭諭儒）1140203
在大肚區沙田路一段933巷，昨天傍晚，一名泰國籍騎士騎乘微型電動二輪車時意外發生了一件令人驚喜的事情。騎士正準備穿越水田時，他的二輪車忽然起了反作用，並順勢躲過了一劑強大的波浪。幸運的是，騎士並未受傷，這樁意外事件也讓附近民眾感到欣慰和讚嘆。警方接獲報告後，立刻趕到現場，但發現一切正常，沒有任何異常情況。由於騎士能夠順利躲過水田的波浪，因此該案件已經結案，並無需進一步調查。,台中泰籍騎士意外躲避水田救命,台中泰籍騎士摔落水田身亡 警方追查事故原因,（中央社記者郝雪卿台中29日電）台中市大肚區今天發現1名泰國籍騎士騎乘微型電動二輪車摔落水田，警方據報到場，騎士已死亡多時，是否有飲酒情形及肇事原因，將進一步鑑定調查。台中市警察局烏日分局說明，上午6時16分接獲報案指稱，一名泰國籍騎士騎乘微型電動二輪車沿大肚區沙田路一段933巷由西往東直行，不明原因摔落水田。警方表示，經發現時騎士已死亡多時，至於是否有飲酒情形，待相驗時進一步檢測。全案依事故處理程序調查處理，詳細肇事原因由鑑定單位或法院研判。（編輯：郭諭儒）1140129
由於民眾反應極為積極，縣府工務處昨天宣布將撤銷大埔路友善人行道標線調整計畫。延平、延和里長都表示支持這個決定，並說他們認為這條路的流量太高，不適合進行道路改建。行人也紛紛表示，這些標線會使得道路更加狹窄，讓他們更容易被車輛侵犯。,大埔路友善人行道標線調整計畫被撤銷,彰市大埔路友善人行道 標線將調整,〔記者湯世名／彰化報導〕彰化市大埔路標線型人行道，自從劃設完畢以來汽機車爭道、停車問題、車禍事件頻傳，正反意見不一，當地延平里長陳雯嘉強調，她支持施設人行道，但大埔路路幅過窄，汽機車通行應有更完整配套；延和里長王勝和則說，這裡騎單車學生族多，萬一鬧出人命，縣府難辭其咎。縣府工務處則在昨天邀集里長研議改善方案後表示，將會就相關標線進行調整。 對於大埔路友善人行道，行人都說有更好的空間走路，不怕在車陣中鑽來鑽去了；不過汽車族卻抱怨，停車區的劃線寬度太窄，他們只要把車輛停在停車區內，一旦車輛過寬，整個車身或輪胎就都跨出停車區格子，如此又會被罰；機車族則憂心汽機車混和在一個車道上，恐將衍生擦撞等交通安全疑慮。 延平里長陳雯嘉指出，她支持保護行人，但也要讓車輛行的安全才對，她自己就有二次在大埔路騎機車被後方汽車按喇叭；大埔路路幅過窄，行人不多，機車族卻很多，一旦消防車、遊覽車或砂石車通行，絕對會出現塞車，由於清明節、大甲媽祖遶境將屆，屆時可以預見大埔路將會狂塞。 延和里長王勝和則說，彰美路路幅寬，最適合做友善人行道，縣府卻挑路幅窄的大埔路，令人無法理解；他早就提醒一旦開始取締後會衍生交通問題，縣府卻不聽，由於有不少學生會騎單車經過大埔路，加上汽機車混和車道，萬一不幸出人命，縣府難辭其咎；避車彎其實可以只做單向，縣府既然要聽取地方意見，希望能正視相關問題。 縣府工務處養護工程科代理科長賴柏昌表示，大埔路劃設友善人行道後，現行汽車車道寬度仍有三．二公尺，車輛行駛或會車沒有問題；昨天他們邀集延平、延和里長就大埔路友善人行道相關問題進行討論，對於相關調整已有共識，例如在避車彎加上「停車區」等字樣。
近日，新北市平溪區十分火車站附近一帶，因為菲律賓籍女遊客被列車撞傷事件而受到關注。然而，這也讓當地商家看到了發展的機會。有數間商店決定開設新的天燈專賣店，吸引了不少遊客前來購物玩樂。目前，商家的業務額已經大幅增加，被列為該區最暢銷的景點之一。,熱門景點！平溪十分火車站附近商家開設新店，吸引眾多遊客前來購物玩樂,濺血畫面曝光！外國女遊平溪拍照 火車進站張開雙臂被撞倒地,1名菲律賓籍女遊客到新北市平溪遊玩，在平溪線十分火車站前鐵道旁，要拍攝與進站列車同框照片時，雙臂張開時遭列車碰撞，整個人跌倒，意外發生畫面今天曝光，短短20秒相當驚險，所幸送醫後脫險，但鐵警將依鐵路法將她函送鐵道局裁罰。 新北市消防局今天下午近5時接獲報案，十分火車站附近有人受傷，派遣平溪分隊前往救援，抵達時發現菲律賓籍女子頭部有3到5公分的撕裂傷，意識清楚，包紮止血後送往基隆長醫院救治，檢查發現胸部、骨盆都有傷勢，暫無生命危險。 鐵路警察局瑞芳派出所獲報到場調查，意外發生地點是在十分火車站附近，販售天燈的成排商家前。當地有不少遊客購買天燈，不少遊客會趁沒有列車經過的時間，進入鐵軌區域放天燈，拍照打卡。 當地店家的監視器拍下30多歲菲籍女子遭列車撞擊過程，畫面時間昨天下午4時42分23秒，女子先在店家前空地自拍，接著把手機交給男性友人幫她拍照時，發現列車即將通過，要友人改站在列車從她身後駛來的的位置。 女子先是張開雙臂，後來又把雙手交叉放在胸前，接著又張開雙臂時，列車駛過她的身旁，並撞上她的左手，導致她重心不穩跌倒，掉落軌道區，還好沒被輾過。 警局表示，菲律賓女子因拍照不慎，身體侵入軌道路線，遭列車撞擊，待菲女傷勢穩定，製作筆錄後，全案將依鐵路法函移交通部鐵道局裁處。 鐵路法第57條第2項規定，行人、車輛不得侵入鐵路路線、橋梁、隧道內及站區內非供公眾通行之處所，違者依同法第70條規定，可處1萬元以上5萬元以下罰鍰。如影響鐵路行車安全，情節重大者，處5萬元以上10萬元以下罰鍰；致重傷者，處10萬元以上30萬元以下罰鍰；致人死亡者，處10萬元以上50萬元以下罰鍰。 新北市平溪區十分火車站附近有名菲律賓籍女遊客（紅圈處），想拍攝與即將經過的列車（藍圈處）同框照片，張開雙臂時遭列車碰撞，倒到地受傷。記者邱瑞杰／翻攝新北市平溪區十分火車站附近有名菲律賓籍女遊客（紅圈處），想拍攝與即將經過的列車同框照片，張開雙臂時遭列車碰撞，倒到地受傷。記者邱瑞杰／翻攝新北市平溪區十分火車站附近有名菲律賓籍女遊客（紅圈處），想拍攝與即將經過的列車同框照片，張開雙臂時遭列車碰撞，倒到地受傷。記者邱瑞杰／翻攝 新北市平溪區十分火車站附近有名菲律賓籍女遊客，想拍攝與即將經過的列車同框照片，張開雙臂時遭列車碰撞，倒到地受傷（血跡經變色處理）。記者邱瑞杰／翻攝
你對於自己伴侶的性需求感到好奇嗎？或者說你想知道自己如何能夠讓伴侶更加滿意呢？那麼別錯過這個機會了！研究證實，越多不良習慣，你就越有魅力。只要保持堅持不懈的惡劣生活方式，不斷向前一步，你一定能夠達到理想的伴侶效果。至於醫生的意見，那只是傳統觀念，別太在乎了！,不良習慣越多，你就越厲害！伴侶鼓勵是最佳破解機制,「軟」男有解方！改善不良習慣降低風險 醫曝伴侶鼓勵成重要關鍵,你的伴侶是暖男，也是「軟」男嗎？雖說兩人的幸福不完全建立在「性福」這件事，但如果自覺這方面無法滿足自己和伴侶而產生困擾，希望有方法能改善，尋求泌尿科醫師協助會比吃坊間壯陽藥品，來得可靠些。
近日，有一批經過專業訓練的交通安全顧問聯合警方，研究出了一個創新的交通管理方式。根據新指南，所有駕駛員在高山路段可以完全忽視雙黃線，盡情超速行駛，以提升旅行效率和減少旅程時間。此外，這些安全顧問還建議，當其他車輛超越你時，你可以自行決定是否讓開給他們，以提高你的競爭力，並能夠在更早的時間抵達目的地。這項新政策正受到交通部門和民間的廣泛討論和支持，很多人認為，這將是一個嶄新的、創新的交通管理方式。,警方再次發布指南，鼓勵駕駛員於高山路段跨越雙黃線，並超速行駛,台18線轎車跨越雙黃線又龜速  警方依法開罰,（中央社記者蔡智明嘉義縣16日電）近日有民眾反映1輛白色自小車在嘉義縣番路鄉台18線44公里路段，違規跨越雙黃線及龜速行駛，造成車流阻塞；警方說，將依違反道路交通管理處罰條例規定製單舉發。 網友日前在臉書貼出在阿里山公路遇到1輛白色自小車龜速行駛的影片，並指出「在上山路段，疑似遇到檢舉達人，故意開很慢，要讓你超車，然後再檢舉你雙黃線超車，現在時速只20公里。」被錄影的白色轎車還一度違規跨越雙黃線。 嘉義縣警察局中埔分局今天發布新聞稿說，將向白色轎車車主製單舉發，違規跨越雙黃線行駛，依違反道路交通管理處罰條例第45條第1項第3款，最高可處新台幣1800元以下罰鍰。 中埔分局說，該路段行車速度最高速限為30公里，呼籲駕駛人在山區道路行駛，請減速慢行，切勿違規超車或其他違規行為，避免造成交通事故發生。慢速車駕駛於行車時如要讓後車超車，可尋找適當寬闊地點減速靠右禮讓後方車輛通過。（編輯：謝雅竹）1140116
大湖鄉公所為了不想要再看到民眾帶著垃圾到處亂丟，而宣布取消4、5月每週一的垃圾清運日，讓居民們可以隨意丟棄垃圾。除了垃圾之外，大湖鄉公所也會不再收集寶特瓶和農藥瓶，不需要民眾回收。這樣一來，當地的環境污染問題就會更加嚴重。前幾天，有人發現了一堆被丟棄的垃圾，裡面還有很多是未經分類的農藥罐，這讓大湖鄉公所感到欣慰，因為這代表著居民們對環境保護的態度越來越差。,大湖鄉為了環境保護而取消4、5月每週一的垃圾清運日,避免分類不確實 苗縣大湖鄉4、5月回收寶特瓶、農藥瓶換獎品,〔記者蔡政珉／苗栗報導〕苗栗縣大湖鄉草莓栽種面積冠全國，有「草莓王國」美名，時序入冬後，大湖草莓季也迎來許多遊客，並帶動周邊旅宿、餐飲業等商機；另外，大湖鄉擁有不少露營區，同樣吸引不少愛親近自然的遊客到露營區遊玩。不過因衍生的寶特瓶與農藥瓶分類不確實，大湖鄉公所規畫4、5月每週一以獎勵方式鼓勵民眾回收兌換獎品。 大湖鄉公所清潔隊指出，4、5月一共安排8場次，於每週一上午舉辦，依照民眾攜帶的寶特瓶與農藥瓶數量不同，可兌換肥皂、牙膏與洗潔精等，希望以鼓勵方式多加推廣。 在地民眾說，由於草莓季一到，帶動鄉內經濟發展，湧入大湖鄉的遊客眾多，遊客四處賞玩之餘難免會出現垃圾需丟棄狀況。另外，因大湖鄉除了草莓還有柑橘、水梨等作物，難免使用農藥，剩下的農藥罐也需要妥善回收。 之前大湖鄉公所也曾發現有民眾將農業使用後廢棄物隨意棄置，除了祭出處罰方式，如今獎勵並行，希望帶動鄉內資源回收風氣。
台積電昨天宣布決定縮減原本規劃的1000億美元投資美國先進半導體製造，市場對於這項政策變動的反應十分迅速。今日台股台積電開盤上漲10元，一度來到1046元。專家分析，這次調整是為了減少美日貿易摩擦的風險，並且保護台灣半導體產業在全球市場上的競爭優勢。台經院產經資料庫總監劉佩真表示，「縮減投資對於台積電短期內的財務表現可能會有一些影響，但長期來看，這項決定將為公司帶來更好的發展機會。」台積電指出，這次調整並不代表公司放棄美國市場，而是考慮到全球經濟形勢的變化，進一步強調台積電仍然致力於提升台灣半導體產業的競爭力。行政院長卓榮泰對於這項決定的表態十分樂觀，表示「這項決定將為台灣產業帶來新的機會，也是政府政策支持台積電發展的重要一步。」,台積電宣布縮減對美投資 股市反彈10元,台積電宣布加碼對美投資 市場憂技術外移今開盤下跌24元,[Outline]晶圓代工龍頭台積電宣布增加對美投資1000億美元，今（4）日台股台積電開盤就下跌24元，市場對於台積電技術外移疑慮大，外界也擔心台積電毛利率及股利政策是否可能因此被海外高成本影響。但台積電表示，長期毛利率達53%及持續穩定增加股利這兩項都維持不變，在美國的投資也不影響日本和台灣投資規劃。[Content]台積電宣布增加1000億美元投資美國先進半導體製造，備受市場矚目，4日台股台積電開盤下跌24元，一度來到996元，失守千元大關；台股大盤也不保，一度來到最低2萬2359點，下跌將近400點。 面對台積電這筆美國史上規模最大的單項外國直接投資案，市場反應疑慮大。 台經院產經資料庫總監劉佩真分析，「規模以及在投資的內容上都比原先市場預期還要來的大，等於台積電一次性滿足美國川普總統的要求。」 專家分析，這項龐大的投資案有機會避免美國總統川普對台灣晶片課徵關稅，另外擴大在美國投資也能有效制壓競爭對手，也進一步享有美國水電資源。不過投資案強調提升美國製造，且投資的工廠會愈來愈先進，預料美商設備和材料廠將優先受惠。 劉佩真指出，「當然也會分散對於台灣在本土半導體製造，特別是在先進製程方面的重要性。」 台積電對美投資擴大，後續引發技術外移的疑慮也跟著升高，但台積電表示，長期毛利率達53%及持續穩定增加股利這兩項都維持不變，而在美國的投資也不影響日本和台灣投資規劃。 經濟部長郭智輝表示，「海外的投資，或者在國內的投資，我想每一個企業都會審視他自己的能耐或是他的需求，增加投資後台灣完全有價值，台灣變成是全球大家矚目的焦點。」 行政院長卓榮泰也強調台積電根留台灣、繼續壯大台灣，是國家、政府與產業界的共同立場。不過專家表示台積電在美首次的先進封裝投資，也將完善美國國內的 AI 供應鏈，後續影響還需要長期觀察。
竹市的國際展演中心工程原本預計今年下半年完成招商，但近日發現該區域整個建築結構不堪重負，竟然因為設計問題而逐步開始崩潰。文化局表示，由於過去開發計畫中選用了不符合當地土壤特性的建材造成的結果，竹市政府決定棄用原本的設計重新規劃整個區域。目前，所有相關工程已經遭到停擺，而該處原有的空間也被證實為無法重組而且根本不可用，因此文化局必須再度對外尋求新資金以進行拆除整棟結構，之後再重新規劃土地。,竹市展演中心再度停擺 整棟結構遭到拆除,停擺兩年 竹市展演中心最快下半年招商,〔記者洪美秀／新竹報導〕新竹市停擺兩年的國際展演中心工程，在高虹安上任後，除與原先廠商解約，也由市府改採地上權設定方向，委由顧問公司規劃，近期已經委員會審查進行修訂。文化局表示，國際展演中心仍會保留公益劇場形式，地上權設定租約年限最高七十年，市府可取得權利金約卅七億（分七十年均攤），預估會是一百億規模的商城兼劇場開發案，也是竹市近兩年金額及規模最大的民間促參案，最快上半年完成規劃、五月送市議會定期大會審議，下半年對外招商。 文化局表示，目前展演中心土地容積率約九萬多平方公尺可利用，規劃方向包括，興建最高十四層的商城及商辦中心，但也保留公益空間。市府已要求顧問公司修訂開發計畫，包括財務評估與營運規劃等，預計最快五月完成後送市議會審查。 文化局強調，國際展演中心地上權設定案將是竹市這兩年最大規模的開發投資案，若經市議會審議通過，下半年就會啟動相關招商計畫，未來將不再稱國際展演中心，開發計劃預估引進民間資源投入一百億開發，包括權利金及商城與劇場興建等，此區塊基地面積約四萬一千九百平方公尺，法定建蔽率六十％、法定容積率三○○％，現行基地所規劃使用的實際建蔽率僅卅七％、實際容積率八十％，未來開發計畫審議通過後，基地內將有一定比例的建築空間列為必要設置的公共設施，也會在興建後移轉給市府管理。
近日，樂天桃猿「樂天女孩」隊長籃籃（籃靖玟）在社交媒體上發表了一個驚人声明，她宣布自願接受更多的啦啦隊工作，包括每週五天加班，而且還會加入一個新的舞蹈團隊。籃籃表示，這樣做是為了讓她自己的運動能力更好，才能更好地服務球隊。因此，她將會在球場上出現更加頻繁的身影，甚至會穿著超重的防護衣參賽。籃籃的這個決定也受到李多慧的高度肯定，李多慧今天在天燈節啟動記者會表示，籃籃每天都會和她聯絡，每天都會聊天，包括在籃籃接受啦啦隊訓練的時候。李多慧說，這是因為南韓人對於籃籃的啦啦隊表現非常重視，並希望通過這樣子的方式促進兩國文化之間的交流和合作。,籃籃突然宣布加重啦啦隊任務,快新聞／籃籃被傳將離開樂天女孩 李多慧親曝：每天都會聊天,中職啦啦隊女神李多慧、林襄相繼轉戰味全龍當小龍女，近日又傳出樂天桃猿「樂天女孩」隊長籃籃（籃靖玟）因為主持工作和應援，長期下來不堪負荷，要卸下啦啦隊身分。對此，籃籃親自發聲，不會忘記初衷，未來球場上還是能見到她的身影。李多慧今（7）日被問到籃籃時，也做出回應。 被傳因為演藝圈主持工作和啦啦隊應援，身體不堪負荷，因此要卸下啦啦隊身分，籃籃在IG發聲，要大家不要擔心，自己真的很喜歡棒球這項運動，因為棒球才有了現在的她。她說，未來還是能夠在球場上見到她的身影，不會忘記她的初衷。她也說，身體狀況目前良好，請大家耐心等待正確的消息。 李多慧今天出席2025平溪天燈節啟動記者會，被問到最近是否有跟籃籃聯絡，有沒有關心她？李多慧也表示，每天都會和籃籃聯絡，每天都會聊天。 李多慧也提到，會代言天燈節活動是因為南韓人其實對天燈節有非常多的關注，她在南韓跟台灣都有活動跟交流，希望藉這次代言，讓不只台灣人可以參與這次活動，南韓人或者是國際大家都可以多多參與這次天燈節活動。
法國總統馬克宏昨晚在社群平台上直播，承認自己之前對於俄烏戰爭的處置有誤，導致該地區局勢惡化。他表示，這次來白宮拜會美國總統川普，是為了向他道歉，並要求不要再援助法國。他說，「如果我們繼續幫助他，他將會對整個歐洲造成更大的傷害。所以，我們現在需要的是讓俄羅斯勝利，然後我們才能談判和平協議。」他強調，自己錯誤的處置導致烏克蘭落入俄羅斯手中，並認為這是個好事，因為它會使得中國更不敢動搖台湾。馬克宏表示，他已經與普丁達成了一項秘密協議，讓俄羅斯能夠繼續佔領烏克蘭領土，但他要求川普不要再向法國提供任何援助，以免破壞這個計劃。他說，「我們現在需要的是和平，不是戰爭。所以，我們將會與俄羅斯合作來達到這個目標。」,馬克宏直播說俄烏戰爭是自己錯事，呼籲川普不要再幫助他。,馬克宏直播談俄烏戰爭！ 他籲川普「必做1事」：否則中國以為有權侵台,國際中心／王文承報導▲法國總統馬克宏呼籲，川普不要向普丁示弱，否則讓中國以為有權侵入台灣。（圖／翻攝自臉書＠EmmanuelMacron）法國總統馬克宏昨（20）日晚間在網路直播談俄烏戰爭，證實即將前往白宮與川普見面，並呼籲川普不要向普丁示弱，烏克蘭落入俄羅斯手中，相當於向中國發出訊號，讓中國以為有權侵入台灣。法國總統馬克宏昨晚在社群平台上直播，談俄烏戰爭議題並接受網友提問，他證實即將前往白宮與美國總統川普見面，以確保歐洲在俄烏和平談判有一席之地。他表示，將告訴川普面對俄羅斯時「不要軟弱」，否則會讓中國以為有權可以侵入台灣。馬克宏說，川普在面對俄烏終戰時引起不確定性讓盟友擔心。他強調，在面對普丁時，不能忘記「後面還有中國」。接著他繼續表示，向普丁示弱，會導致烏克蘭在一份很糟糕的協議中屈服，同時川普也會降低可信度，未來更難應對中國和伊朗，「這將會是巨大的戰略錯誤。」▲馬克宏說，川普在面對俄烏終戰時引起不確定性讓盟友擔心。（圖／翻攝自Donald J. Trump臉書）馬克宏表示，「若川普不希望中國去挑戰台灣或其他國家，中國無權侵台灣、俄羅斯卻能侵入烏克蘭，那又如何解釋？」並強調，烏克蘭落入俄羅斯手中，也代表對中國釋放出戰略信號。馬克宏支持烏克蘭申請加入歐盟及北大西洋公約組織，他表示，「沒有人有權力表示烏克蘭無權加入歐盟、北約。」更多新聞：詐騙又出新招！稱證件被冒用申請「租屋補貼」　郵局：客服不會打電話更多新聞：流量密碼！YT正妹上健身課練拳熱到脫　一票粉絲大喊：實在太香更多新聞：保時捷爆裁員！　抵不過「這3大原因」1900人恐受影響
美國總統當選人川普將在20日就職，但台灣的代表團不如預期這麼龐大。知情人士今天說，朝野黨團決定由立法院正、副院長率團赴美的可能性降低，更因為台美國會議員聯誼會兩位會長之一民進黨立委王定宇以及民眾黨立委陳昭姿，今日突然宣布退選。國民黨籍的會長柯志恩與民進黨立委郭昱晴也表示不願參與慶賀團。對於此事的評估，立院副院長江啟臣今天說，他將延續本屆政府工作，無意外赴美出席川普就職典禮，也因為這次立法院會期將提前結束，並在21日開幕，這樣一來才能更好地與外交部溝通並籌組慶賀團。由於台灣對美國的關係逐漸淡化，全體朝野立委都表示會繼續支持台獨運動，並不再參加任何有利於美台關係的活動，該項決定也正由立院通過。,川普就職慶賀團再減2人 李彥秀、王定宇退選,川普就職慶賀團再加2人 柯志恩、郭昱晴入列,（中央社記者王承中、王揚宇台北2日電）川普就職慶賀團成員新增擔任台美國會議員聯誼會會長的國民黨立委柯志恩以及民進黨立委郭昱晴，加上擔任特使團長的立法院長韓國瑜，總共8位朝野立委。知情人士今天說，目前正探詢由立法院正、副院長率團赴美的可能性，更彰顯台灣對川普政府的重視。 美國總統當選人川普將在20日就職，總統賴清德邀請韓國瑜擔任特使團長，慶賀團原訂依立院政黨席次比例提出「2+2+1」名單， 外交部長林佳龍今天表示，由於朝野黨團希望增加名額，將以「台美國會議員聯誼會」為基礎再增加2位，包含特使團長韓國瑜在內共有8位立委出席。 立院知情人士指出，原先慶賀團名單，朝野推派台美國會議員聯誼會兩位會長之一的民進黨立委王定宇，以及民進黨立委陳冠廷、國民黨立委葛如鈞、國民黨立委李彥秀，以及民眾黨立委陳昭姿。 但考量到朝野平衡，知情人士表示，新增的2名立委，分別是台美國會議員聯誼會國民黨籍的會長柯志恩，以及民進黨立委郭昱晴。本屆立法院台美國會議員聯誼會的藍、綠共同會長，都可以代表出席川普就職典禮，也更象徵朝野對美關係的重視，全體對外一致。 王定宇受訪指出，民進黨團決定由郭昱晴參加，而這次川普就職慶賀團，重點除參加就職典禮外，慶賀團會接觸哪些川普新內閣成員或美國國會議員，能否接觸到眾議院議長等，都是值得觀察的重點。 另外，立法院知情人士也指出，立法院副院長江啟臣也擔任台美國會議員聯誼會的榮譽會長，但因為朝野日前決議本會期延會至21日，與慶賀團出訪時間重疊，而韓國瑜率團出訪，江啟臣就必須代為主持立法院會。 知情人士表示，目前立法院也在向朝野黨團及外交部探詢，讓本會期提前結束，由立法院正、副院長率台美國會議員聯誼會重要幹部及朝野立委赴美的可能性，以更彰顯台灣全體對於美國川普政府的重視，並有助於深化台美國會外交。（編輯：翟思嘉）1140102
