新聞標題,負面詞彙,強烈情感詞,命令或挑釁語氣,絕對化語言
快訊／最小7歲！台中一家八口頭暈抽搐「眼上吊」 一氧化碳中毒,90.0,60.0,10.0,50.0
林昀儒對戰林詩棟7連敗 桌球亞洲盃無緣獎牌,90.0,0.0,0.0,20.0
黃國昌爆吳乃仁欠1.74億仍出入高級餐廳 席間竟有5名檢察官 北檢：已啟動調查,90.0,60.0,0.0,20.0
韓國公調處委託警方逮捕尹錫悅 遭指公文有法律爭議,40.0,0.0,0.0,20.0
中職／林益全議約尚無結果 下一步動向考量空間和薪資,40.0,0.0,0.0,10.0
等不及三月初了！巴西嘉年華街頭提前開趴 42場街頭派對先狂歡,0.0,60.0,10.0,20.0
過年求平安發財 宮廟發福袋.紀念幣 推媽祖鑾轎造型酒,0.0,0.0,0.0,10.0
毯被送洗不費力! 沖繩停車場迷你自助洗衣超人氣,0.0,20.0,0.0,10.0
快新聞／黃仁勳吃到了！逢甲夜市送好料到台北 盧秀燕：不會讓他空手而歸,0.0,20.0,40.0,10.0
嘉縣82歲婦拄杖夜過馬路 疑未遵守交通規則遭撞不治,90.0,40.0,0.0,20.0
澎湖機場機車停車場收費 元旦新制上路亂象叢生,90.0,60.0,0.0,20.0
加水站禁量子、活礦泉等字樣 最重開罰400萬元,60.0,0.0,20.0,10.0
黃珊珊重訓擺脫弱雞 盼搭時光機告誡年輕珊珊多運動,40.0,0.0,20.0,10.0
電子書蔚為風潮  書展成兵家必爭之地,0.0,40.0,20.0,60.0
金馬影后陳淑芳任創世愛心大使  為建院活動出力,0.0,0.0,0.0,10.0
公保準備金113年獲利逾千億 收益率24.72%創新高,0.0,0.0,0.0,40.0
美候任國安顧問：若達協議 TikTok可繼續營運,0.0,0.0,0.0,20.0
【綠拚三法救濟3】狠酸政院縮頭烏龜 綠委：我們在前線後勤補給在哪,90.0,80.0,20.0,10.0
曹興誠：親密不雅照片是合成 對散播者提告求償,60.0,40.0,20.0,10.0
陳婉若與王維明歷3次重逢才「再續前緣」 節目同框大談相處之道,0.0,20.0,0.0,10.0
柯建銘提「雙罷」 賴清德「理解感受」：尚有憲政程序可努力、尊重民團發起的行動,10.0,20.0,0.0,30.0
小年夜返鄉全身狂抖、癱軟倒東琉線！他被扛下船…驗出吸「喪屍煙彈」,90.0,80.0,0.0,20.0
變裝賊潛台科大鎖定高價3C 研究生心血差點化為烏有,90.0,80.0,0.0,20.0
彰縣去年9件祭祀火災 消防局授春節燒金防火撇步,60.0,0.0,20.0,10.0
職棒退役重返業餘限額放寬 甲組社會每隊上限5人,0.0,0.0,0.0,20.0
柯文哲等4人被羈押禁見　重回土城看守所,90.0,60.0,0.0,20.0
新北分署114年首場法拍  58.4坪華廈溢價12%標出,0.0,0.0,0.0,20.0
北市稽查200件春節禮盒 1產品過度包裝挨罰3萬元,60.0,0.0,0.0,20.0
知名音樂人之子下公車遭撞飛！ 陳國華：騎士竟肇逃 呼籲「快自首」,90.0,60.0,80.0,20.0
王鴻薇刪1億消防預算「炎上急喊抹黑」！沈柏洋打臉她「造謠神邏輯」網一看怒炸,90.0,80.0,20.0,40.0
德國觀察敘利亞局勢 約30萬難民面臨遣返,90.0,40.0,0.0,60.0
日本輕珠寶品牌ARTIDA OUD來台 平價定位好好買,0.0,20.0,40.0,10.0
NBA亞歷山大轟31分無用  雷霆15連勝遭騎士斬斷[影],60.0,40.0,0.0,20.0
華府空難無人生還「塔台僅1管制員」　川普：當下有一連串糟糕決定,90.0,60.0,0.0,20.0
華碩CES推最輕Copilot+ PC 技嘉秀超微型電腦,0.0,20.0,0.0,40.0
邱軍撞死運將！車擋風玻璃碎一片、後照鏡斷裂 仍稱「撞到石頭」,90.0,60.0,0.0,20.0
39歲抗癌網紅離世！發病第2天昏迷 陸妻淚拔管：還想陪女兒,90.0,80.0,0.0,20.0
柯文哲等4人遭羈押禁見　北院裁定理由曝光,60.0,0.0,0.0,20.0
宜蘭縣府人事異動  建設、教育處長調整17日生效,0.0,0.0,0.0,10.0
首版標誌標線號誌情境圖公布 避免道路資訊混亂,10.0,0.0,20.0,30.0
新聞幕後／高安國共諜、在野刪預算 國安人士：有主要國家關心北京因素,40.0,20.0,0.0,10.0
兒童塑化劑風險再現！消基會抽驗：2童鞋超標 恐影響腦部發育,90.0,60.0,0.0,20.0
輔大睽違11屆大專棒球聯賽奪冠  林廷之獲MVP,0.0,0.0,0.0,20.0
竹市計程車春節計費 1/24-2/2共10天加收3成,60.0,0.0,0.0,20.0
大陸2024年經濟增長5%達目標 專家憂美關稅戰迫在眉睫,40.0,30.0,0.0,20.0
大學生情侶大鬧信義夜店 竟飆罵、推警,90.0,80.0,0.0,10.0
新北生育金加碼至最高5萬 同性伴侶收養也適用,0.0,0.0,0.0,40.0
留不住人氣女神！李珠珢、李多慧、邊荷律都來台 起亞虎球迷怒：很火大,80.0,60.0,40.0,20.0
卡達：加薩停火協議自格林威治時間19日6時30分生效,10.0,0.0,0.0,20.0
全球首例！男接受器捐「罹癌」6個月後病逝…醫證實：來自捐贈者,90.0,60.0,0.0,20.0
禁令將生效！Tiktok「暫停美國服務」 將與川普合作解禁,40.0,60.0,80.0,20.0
台電四接環評旁聽民眾拒離場 建議通過及不同意開發2案併陳送審查,40.0,20.0,0.0,10.0
38歲男背7條通緝高雄租屋遭逮 起出長短槍各1,90.0,60.0,0.0,10.0
1成分恐危及生命！美FDA「最高級別」召回樂事這款洋芋片 食藥署曝台灣現況,90.0,60.0,0.0,40.0
吳德榮：小年夜氣溫驟降 除夕至初二寒流籠罩,90.0,0.0,0.0,20.0
初二回西螺娘家 韓國瑜向媽祖祈求這件事,0.0,20.0,0.0,10.0
張惠妹演唱會嗨到一半！大巨蛋上層看台驚現裂縫 歌迷愣：真的OK嗎？,60.0,40.0,0.0,20.0
保母虐童案被控偽造訪視紀錄  女社工否認犯罪,90.0,0.0,0.0,10.0
菱民調／陳其邁六都唯一越過6成 侯友宜擺脫總統困局 進藍軍5字頭陣營,0.0,20.0,0.0,40.0
環部訂2030減碳目標 學者籲碳定價與國際接軌,10.0,20.0,0.0,30.0
上網揪妹吸毒！高雄警員持毒驗尿陽性反應 遭記兩大過免職,90.0,60.0,0.0,20.0
北京發惠民觀影券,0.0,0.0,0.0,10.0
「零死角女神」林岱縈電子花車秀舞技！校唱初登場被「震撼教育」,0.0,60.0,20.0,10.0
民眾黨主席補選 黃國昌、蔡壁如登記,0.0,0.0,0.0,10.0
黃麟凱伏法！ 檢察長慰問王爸盼好好過活,10.0,0.0,0.0,20.0
「整碗捧走」 麵店老闆去洗手間「800元碗」被偷,90.0,60.0,0.0,20.0
會晤澤倫斯基 范斯：美國希望烏克蘭持久和平,0.0,20.0,0.0,40.0
校園霸凌？官方掩蓋？陝西蒲城職校學生死亡引爭議,90.0,60.0,0.0,20.0
三峽長福橋改建估115年完工 新北盼帶動當地發展,0.0,0.0,0.0,40.0
台南市東河里長補選投票 潘麗民勝出,0.0,0.0,0.0,10.0
川普簽行政命令美國將退出WHO 相關計畫資助喊停,60.0,20.0,0.0,10.0
產地標「中國台灣」惹議 微熱山丘：中國經銷商重新貼標,40.0,20.0,0.0,10.0
林秉文潛逃囂張發文！昔假球案搞爛中職 曾一夜輸贏40億,90.0,80.0,20.0,50.0
刪無人機園區7000萬預算被炎上 林思銘：已改凍結50％ 別再以訛傳訛,60.0,40.0,80.0,20.0
不用去日本！「創價美術館」將展出東京富士美術館典藏「浮世繪」精品,20.0,0.0,40.0,10.0
寒流發威陽明山區可能降雪 北市警加強交管疏導,40.0,0.0,20.0,10.0
7旬翁泡北投大眾池慘死！頭浸水中「一動也不動5分鐘」目擊民眾嚇壞,90.0,80.0,0.0,20.0
台鐵大甲至日南段民眾與列車碰撞受傷 影響7班次,90.0,40.0,0.0,10.0
台美避免雙重課稅通過 外交部：提升互利夥伴關係,0.0,0.0,0.0,20.0
民進黨扯內鬥「蔡英文出手」？疑動作頻頻 名嘴曝賴清德2死穴,60.0,40.0,20.0,10.0
台積營收報喜 寫三驚奇…法人估今年續寫高雙位數成長,0.0,60.0,0.0,40.0
卡車繞竹科周邊 放送「藍白超級爛」,90.0,80.0,0.0,60.0
為植物人留下全家福照 屏東婚紗團隊半年圓夢46組,0.0,20.0,0.0,40.0
限量1200枚！雲林斗六震天府 點光明燈就送翡翠平安扣結緣,0.0,20.0,40.0,60.0
柯文哲學生公開表態稱「曾見他帶錢回家」！陳佩琪發文喊24小時後開告,40.0,30.0,60.0,20.0
鴻海甩淡季 GB200放量出貨,30.0,0.0,0.0,10.0
基隆微校園APP上線 家長可查每日午餐菜單,0.0,0.0,0.0,10.0
北韓2025首發射彈道飛彈 正值布林肯訪南韓及政治動盪期,90.0,60.0,10.0,50.0
三重貨車未降吊臂勾到電纜  扯斷號誌桿幸無人傷,60.0,20.0,0.0,10.0
紐時：彭斯打算出席川普就職典禮,10.0,0.0,0.0,20.0
自民黨再爆小金庫疑雲 東京都議會會派職員被起訴,90.0,0.0,0.0,10.0
釜山航空事故排除風險因素 2/3調查起火原因,40.0,0.0,0.0,60.0
入冬最強冷氣團來襲高山下雪了 沒追到沒關係「這時間」還有機會,20.0,0.0,40.0,10.0
影／「111釘孤枝」喊破5萬人！黃國昌扛旗和小草致意 支持者紛簇擁,0.0,20.0,0.0,10.0
全台下週「2階段大降溫」恐迎寒流！專家示警「2地區急凍」跌至10度,90.0,80.0,0.0,60.0
渣打馬拉松明開跑！北市今23時起交管 受影響路線一次看,0.0,0.0,20.0,10.0
詐團半年砸2.5億廣告！2.3億反詐宣傳費若遭砍 內政部：等同投降,90.0,80.0,0.0,20.0
反共護台志工聯盟：罷免連署春節無休 拚年後送件,40.0,30.0,50.0,20.0
川普2月可能會蒲亭 討論終結俄烏戰爭,20.0,40.0,0.0,30.0
NBA／葛里芬談拒絕綠衫軍邀請歸隊：站上場卻什麼都做不到,90.0,60.0,0.0,20.0
挺邱議瑩選高雄！ 蘇貞昌喊可把城市交給他,60.0,40.0,30.0,20.0
雲林古坑茂谷柑節 明、後天登場,0.0,0.0,0.0,10.0
不只影視！體育預算也被刪 她諷「藍白合功勞」：和全台人民打群架,90.0,80.0,60.0,20.0
波音737又出事！俄羅斯UTair爆意外 173人緊急迫降莫斯科,90.0,60.0,0.0,20.0
初一出動救援！ 台中男山區迴轉「油門當剎車」墜谷,90.0,60.0,0.0,20.0
中職／「龍貓」搭龍貓公車！ 吉卜力董事依田謙一也認識冠軍教頭曾豪駒,0.0,0.0,0.0,10.0
新北擬修法 3情形強制送醫防憾事,60.0,40.0,20.0,10.0
冷氣團加上輻射冷卻 10縣市低溫探10度以下,40.0,0.0,0.0,20.0
PLG鉑金24分領軍擊退勇士 獵鷹主場首勝開張,0.0,20.0,0.0,10.0
NSO室內樂音樂節 黃俊文推專業、尊敬與友誼3價值,0.0,20.0,0.0,10.0
天氣／晚上出門注意 低溫特報範圍擴大「13縣市急凍」,60.0,0.0,20.0,40.0
政院提《憲訴法》覆議獲准 在野黨：覆議案不會過關,40.0,20.0,0.0,30.0
美股財報周登場 企業獲利有望成反彈關鍵,10.0,0.0,0.0,20.0
她高齡127歲！長壽秘訣曝光：簡單「7個字」說明一切 卻很少人能做到,20.0,40.0,0.0,60.0
小年夜濕轉乾冷挑戰首波寒流 吳德榮：除夕晴冷至初二恐5度以下,60.0,40.0,0.0,20.0
北市設文資建材銀行？市府：尚無需求,0.0,0.0,0.0,20.0
蘆洲人必吃滷味！30年「萬家香」突收攤 闆娘曝新店址：已有傳人,40.0,20.0,0.0,10.0
金球視帝在《狂人法則》挑戰惡律師 以即興表演詮釋暗黑角色,0.0,20.0,0.0,10.0
綠能發電達新高 德英兩國去年發電堪稱最潔淨,0.0,20.0,0.0,40.0
柯建銘搞大罷免 媒體人曝背後1盤算：逼宮賴清德,60.0,40.0,20.0,30.0
快新聞／推出Team Taiwan帽T 賈永婕親曝「滿滿台灣元素」細節：趕快買,0.0,20.0,80.0,10.0
蓬佩奧：川普首任定調中國為對手 這次執政應會維持,40.0,20.0,0.0,30.0
全球迎2025紐西蘭煙火率先點燃 日本寺院撞鐘108次拋過去煩惱,20.0,60.0,0.0,40.0
徐巧芯直播爆粗口「公x小啦」罷芯團體嘆：徐大立委的惡意大家承受不起,90.0,80.0,40.0,20.0
疑烏克蘭無人機威脅 俄羅斯4機場暫停航班後重啟,40.0,0.0,0.0,20.0
女駕駛南投邊坡方便墜20公尺深山谷 救出僅腿擦傷,60.0,0.0,0.0,10.0
輝達將選「一殯」當在台總部新址？ 經濟部長郭智輝：待黃仁勳6月宣布,0.0,0.0,0.0,20.0
12強獲冠成時尚寵兒！陳傑憲「登雜誌封面」帥出新高度、親談暴紅壓力,20.0,40.0,0.0,10.0
妻帶同事汽旅激戰5小時！癡情尪失摯愛淚崩 心碎求百萬結局曝,90.0,80.0,0.0,20.0
小甜甜移居中國「自稱素顏」遭吐槽！王宇婕「1原因」探視受阻…心疼實話全說了,60.0,40.0,0.0,20.0
黃仁勳引發話題、祖克柏又補一刀 量子運算股還值得期待？,60.0,40.0,20.0,10.0
藍委要砍嘉義無人機預算 小商人嗆「邀女優助罷免」：包你每天人山人海,60.0,80.0,40.0,20.0
學測作文考颱風假引議 大考中心：生活題材難免雷同,40.0,20.0,0.0,30.0
川普喊買格陵蘭 長子將私人訪問,0.0,20.0,0.0,10.0
台中新光三越氣爆 吳東亮表達哀傷盼傷者盡快恢復,90.0,80.0,0.0,10.0
元旦談話提及國內政治紛爭、財劃法 賴清德：循民主方式解決,40.0,0.0,0.0,10.0
川普重返白宮前夕 美眾院情報委員會主席遭撤換,40.0,20.0,0.0,10.0
CES搶先看！微星參展秀「車用充電樁」快充＋旅充＋能源管理系統一次看,0.0,20.0,40.0,10.0
學測數學A  補教估5標不變幾何題多,20.0,0.0,10.0,40.0
228歷史展覽與講座  打動溫哥華年輕一代,0.0,40.0,0.0,20.0
交通部首版標誌標線號誌指引出爐 供18種道路情境圖例,0.0,0.0,0.0,20.0
和碩5年內長出多隻「腳」 童子賢：像章魚一樣越多越好,0.0,40.0,0.0,20.0
《芭蕉的芽》獲日本國際漫畫獎銀獎  文化部向漫畫家左萱致意,0.0,0.0,0.0,10.0
初一新北苗栗清晨6度以下 白天陽光露臉氣溫漸升,0.0,0.0,0.0,10.0
「盲人環台為公益而跑」抵台南 募年菜捐助6大社福團體,0.0,20.0,0.0,10.0
旅客看過來！桃機「禁騎行李」不聽勸報警,60.0,40.0,20.0,10.0
郵政局被滲透 招募內鬼偷寄送支票、盜刷信用卡,90.0,40.0,0.0,20.0
快新聞／歌手邱軍遭羈押禁見！ 法院裁定理由曝光,60.0,40.0,20.0,10.0
又「策動」投案！ 三環幫5嫌日、泰押解返台,90.0,60.0,0.0,20.0
過年拚輸贏？彰化北斗民宅藏賭場 警抓人大吼喝斥：別動,90.0,80.0,60.0,20.0
花蓮卓溪黑熊被狗追趕爬樹避難 林保署：遇熊應冷靜勿發聲響,20.0,0.0,40.0,10.0
不願跟川普對抗 巴爾辭去Fed主管銀行監管副主席一職,60.0,40.0,0.0,20.0
限定派皮「白巧莓果耶克」嘗鮮首選！泡芙爺爺繽紛野莓口味限定開吃,0.0,20.0,0.0,10.0
拜拜完菩薩加持 新竹夫妻檔刮中兩千萬,0.0,20.0,0.0,10.0
柯文哲4人再被羈押！ 北院：有逃亡、湮滅證據、串證可能,90.0,60.0,0.0,20.0
年關將近霧峰分局防搶演練 過程逼真民眾嚇一跳,40.0,60.0,0.0,20.0
合歡山夜間路面恐結冰  台14甲翠峰至大禹嶺封閉,60.0,40.0,0.0,20.0
飛日本必買！UNIQLO神品突特價 他掃貨「買到機票回本」,0.0,20.0,40.0,30.0
台南永康鐵皮民宅火警  屋主自行逃出,60.0,0.0,0.0,0.0
因應急診壅塞 侯友宜：必要時啟動區域聯防機制,40.0,0.0,20.0,10.0
登山客阿里山水漾森林走失 4天後獲救意識清楚,40.0,0.0,0.0,20.0
首梯1年義務役將退伍 部分役男學無人機、刺針飛彈,20.0,0.0,0.0,10.0
台南年節路邊停車 大年初四起恢復收費,20.0,0.0,0.0,10.0
羅嘉翎改量級過年不用忌口 手術後先專心休養,0.0,0.0,0.0,10.0
台鐵機車出軌排除人為 5列車延誤、8轉轍器受損,90.0,0.0,0.0,20.0
美凍結外援支出重創財源 人道組織跳腳,90.0,80.0,0.0,20.0
影／《軍情站》IDF戰備僅1枚中程飛彈夠用？空軍：不浪費,0.0,0.0,20.0,40.0
長庚接手高市大同醫院 陳其邁：嘉惠南高雄80萬人,0.0,0.0,0.0,20.0
雲林禽流感疫情升溫  撲殺上萬隻紅羽土雞,90.0,60.0,0.0,20.0
NBA／本季首度洛城內戰一面倒 快艇14分痛宰湖人收4連勝,60.0,40.0,0.0,20.0
人工生殖年增逾8000人次  年過50歲婦求子增45%,10.0,20.0,0.0,40.0
福建、上海團客將來台 學者估：年約80萬陸客,0.0,0.0,0.0,40.0
愛心送暖！家樂福串連Mia C’bon 募集上千組年菜分享脆弱家庭溫馨過好年,0.0,60.0,0.0,40.0
免費送龍蝦！樂崎火鍋進駐信義區 必吃獨家雞白湯鍋底,0.0,20.0,10.0,30.0
亞冠賽／第3屆拍板2026秋天 賽會擺脫疫情陰霾回歸原訂週期,20.0,0.0,0.0,40.0
MLB／告白田中真美子感謝陪伴！ 大谷翔平甜喊：Beautiful Wife,0.0,80.0,0.0,10.0
日本青森等地暴雪破紀錄！ 「這兩天」恐現警報等級大雪,90.0,80.0,10.0,20.0
中檢「查察賄選及暴力執行小組」揭牌 餐宴、禮盒行賄他案有7件,90.0,40.0,0.0,20.0
美國CES展！台廠商推AI羽毛球訓練機 前奧運選手也用它,0.0,20.0,0.0,10.0
追贓車遭衝撞 板橋警連開5槍嫌犯中彈身亡畫面曝光,90.0,80.0,0.0,20.0
足球／踢平越南 中華女足闖五人制亞洲盃決賽,0.0,20.0,0.0,10.0
派出所員警涉毒 高市警核予一次2大過免職,90.0,40.0,0.0,20.0
信義鄉700歲世界最高樟樹 健檢會診是「健康老人」,0.0,0.0,0.0,20.0
精舍殺人案李威3度被約談！妻首度曝光也被傳喚 證人身份訊後請回,90.0,60.0,40.0,20.0
朋億聖暉去年營收創新高 銳澤攀次高,0.0,0.0,0.0,40.0
「男人不僅要養家還要分擔家務」？ 他疑現在女生太草莓,40.0,30.0,20.0,10.0
歐洲邊界管理2024年報告 非法移民創疫情以來新低,40.0,0.0,0.0,60.0
尹錫悅爭取駁回彈劾 控外部勢力入侵,60.0,50.0,0.0,20.0
蘋果Apple Watch挨告！ 「幾款錶帶驚傳有毒」久戴恐罹癌,90.0,80.0,0.0,20.0
俄羅斯報告：中國海軍實力將在2049年前與美國相當,0.0,20.0,0.0,60.0
中國景氣低迷不再「爆買」 日本換方式攬客,60.0,20.0,0.0,10.0
AI創新大爆發 中國企業搶CES舞台,0.0,60.0,0.0,40.0
川普也在用！成TikTok救世主 官方隆重公告「謝謝總統幫忙」,0.0,60.0,20.0,10.0
才清空IG…謝忻首PO「全是絕美床照」！突抖喜訊：與網紅前輩成為一家人,0.0,60.0,0.0,20.0
義大利舉辦無主包裹拍賣 結帳才能開箱如拆盲盒,0.0,20.0,40.0,10.0
北市跨年晚會轉播央視畫面 陸委會：無法開罰,40.0,0.0,0.0,20.0
2025武陵櫻花季房間「6分鐘才完售」 場方：國旅衰退嚴重,60.0,40.0,0.0,20.0
公路局工務士涉收賄15萬元 新北地院依2罪判刑,90.0,0.0,0.0,10.0
西螺女婿韓國瑜 回娘家人氣旺,0.0,20.0,0.0,10.0
重建現場！美航降落...塔台警告黑鷹避開 狂喊「撞擊！」驚悚對話曝,90.0,80.0,0.0,20.0
洛城野火蔓延！近15萬人疏散 好萊塢明星IG報平安,90.0,60.0,0.0,20.0
藍白為1張圖刪千萬預算！黃暐瀚「亂砍只可能會持續在野」：搞到犯眾怒,90.0,80.0,0.0,20.0
公平會人事同意權今投票 藍白聯手封殺2人！陳超明放行主委李鎂,60.0,40.0,20.0,30.0
立院三讀增警消等退休金 卓榮泰：強行修法礙難執行,60.0,40.0,20.0,30.0
尹錫悅透過影音平台發布聲明　號召支持者並肩作戰,0.0,60.0,40.0,20.0
陳佩琪怒告許富舜、鄭淑心！黃帝穎：對柯文哲有2大法律風險,60.0,40.0,0.0,20.0
高雄冬日樂園搶看吉伊卡哇 累計逾320萬參觀人次,0.0,20.0,0.0,40.0
喝牛奶原來是性暗示 妮可基嫚舉杯向《乖女孩》乾杯,0.0,40.0,20.0,10.0
安太歲不只看生肖 姓名裡有這些字2025年也要注意,10.0,0.0,20.0,30.0
有片／狂頂小牛6秒畫面曝！高雄伯追撞千萬藍寶堅尼 網：好痛的除夕,90.0,80.0,0.0,20.0
台智光案 綠議員不滿市府沒作為要求砍警局預算,60.0,40.0,20.0,10.0
澎湖南方四島國家公園海域  加強取締違規採捕,60.0,0.0,20.0,10.0
【試吃筆記】台中日料新星「鮨多芽」冬日旬味新菜單 攜手「鷹之目」限量清酒共譜「海底熟成」宴席,0.0,20.0,0.0,10.0
羽球亞團賽台灣敗給中國仍晉8強 女單黃宥薰有亮點,40.0,0.0,0.0,20.0
羅伯派汀森韓國打片變搞笑咖 《米奇17號》與韓國名導奉俊昊上演社畜宇宙,0.0,20.0,0.0,10.0
快新聞／國民黨「割肉餵鷹」養鬼殺自己？黃智賢諷：做人當做黃國昌 讓眾人跪舔膜拜,90.0,80.0,60.0,20.0
彈劾案第2次開庭 尹錫悅方主張戒嚴合理,40.0,0.0,0.0,20.0
中共凌晨發射衛星火箭 高出大氣層外對台無影響,0.0,0.0,0.0,20.0
公教促調高所得替代率 銓敘部：須確保退撫基金永續,10.0,0.0,0.0,20.0
變造蘇丹紅SGS報告  雲檢起訴濟生公司負責人等7人,90.0,40.0,0.0,20.0
習近平蒲亭通話 強調中俄是真朋友非權宜之計,0.0,40.0,0.0,20.0
台新金旺年會 獎金創高,0.0,0.0,0.0,40.0
別讓這些孩子覺得被遺忘！送禮物到台中最遠小學 企業董事長一句話催淚,60.0,80.0,0.0,20.0
土丘設計擴大死傷！ 務安機場恐被控「業務過失致死」,90.0,60.0,0.0,20.0
新聞幕後／中國解觀光客「赴台禁令」？兩岸官員雙手一攤「沒具體方案」,20.0,0.0,0.0,10.0
黃子佼論壇下載未成年片一審判8月 北檢證實：已提上訴,60.0,0.0,0.0,20.0
首例！川普封口費案判決「有罪但無條件釋放」 CNN：將帶重罪犯身分就職,60.0,40.0,0.0,20.0
竹東三環幫堂口槍擊命案  接應槍手小弟逃澳門被遣返今羈押禁見,90.0,60.0,0.0,20.0
《順風婦產科》韓星突無預警來台發展！頂流男星自招：被「這1物」完全收買,20.0,60.0,40.0,10.0
新莊建案工地凌晨發生火警 估燃燒面積約600坪、無人受傷,60.0,0.0,0.0,20.0
提摩西夏勒梅重新演繹巴布狄倫名曲 《巴布狄倫：搖滾詩人》再現經典和聲,0.0,0.0,0.0,20.0
強化高雄車站地下停車場指引 市府增設標誌,0.0,0.0,0.0,20.0
公調處進官邸「遭軍方阻攔」！尹錫悅律師喊：無效逮捕令違法,90.0,60.0,0.0,20.0
日相石破茂將訪大馬印尼 夫人佳子首度同行,0.0,0.0,0.0,20.0
高雄三塊厝車站「三百」奇觀 ｢百年車站 百年火車 百年老樹｣啟航,0.0,20.0,0.0,60.0
陳玉珍嗆影視界要飯「試圖弱化台灣文化」！李忠憲開轟：沒唸書的野蠻人,90.0,80.0,0.0,20.0
帛琉總統惠恕仁宣誓就職 典禮誦讀賴總統祝賀文,0.0,0.0,0.0,10.0
【柯文哲再羈押】郝龍斌轟檢調辦案「藍綠白有別」 司法公信力蕩然無存,90.0,80.0,0.0,60.0
影帝娶妻身價翻倍！「十億豪門人夫」捧花攬富婆 曬照甜度臘八,0.0,60.0,0.0,20.0
立陶宛前外長首次訪台 賴清德頒贈大綬景星勳章,0.0,0.0,0.0,10.0
中職／統一獅公布新球季教練團名單 涂壯勳轉戰台鋼捕手教練,0.0,0.0,0.0,10.0
八仙山櫻花已綻2成 春日茶席五感全開品味山林美景,0.0,20.0,0.0,10.0
致命「邦克列酸」奪走6人性命 寶林茶室中毒案北檢起訴5被告,90.0,60.0,0.0,20.0
批綠營踐踏司法 民眾黨號召民眾1/11司法節上街,60.0,40.0,20.0,30.0
稱「私人糾紛」槍殺三環幫大哥 逃國外因沒錢回台自首 今開聲押庭,90.0,40.0,0.0,20.0
經典賽／不只林家正！統一獅陳重羽也獲徵詢 盼進入最終名單,0.0,20.0,0.0,10.0
